P96,248.197
P47,246.980
P96,-1,59.1975,0.6581,59.1216,0.8432,59.1195,0.8416,59.1958,0.6564
-1,-1,59.2505,0.6596,59.1746,0.8251,59.1726,0.8235,59.2488,0.6580
-1,Q08,59.3032,0.6611,59.2273,0.8072,59.2253,0.8057,59.3016,0.6595
Q08,-1,59.3554,0.6625,59.2795,0.7899,59.2776,0.7885,59.3539,0.6610
-1,-1,59.4070,0.6639,59.3311,0.7734,59.3293,0.7720,59.4055,0.6624
-1,-1,59.4579,0.6651,59.3820,0.7577,59.3802,0.7564,59.4565,0.6638
-1,B42,59.5079,0.6664,59.4320,0.7430,59.4303,0.7418,59.5066,0.6651
B42,-1,59.5570,0.6675,59.4811,0.7295,59.4794,0.7284,59.5557,0.6662
-1,-1,59.6050,0.6685,59.5291,0.7174,59.5274,0.7163,59.6037,0.6673
-1,-1,59.6517,0.6694,59.5758,0.7067,59.5743,0.7056,59.6506,0.6682
-1,A44,59.6973,0.6701,59.6214,0.6975,59.6198,0.6965,59.6961,0.6690
A44,-1,59.7414,0.6707,59.6655,0.6900,59.6640,0.6890,59.7403,0.6697
-1,-1,59.7841,0.6712,59.7082,0.6842,59.7068,0.6832,59.7831,0.6702
-1,-1,59.8254,0.6715,59.7495,0.6801,59.7481,0.6792,59.8243,0.6705
-1,B78,59.8652,0.6717,59.7893,0.6779,59.7879,0.6770,59.8641,0.6707
B78,-1,59.9035,0.6718,59.8276,0.6775,59.8261,0.6766,59.9024,0.6707
-1,-1,59.9402,0.6716,59.8643,0.6790,59.8629,0.6780,59.9392,0.6706
-1,-1,59.9755,0.6714,59.8996,0.6823,59.8981,0.6813,59.9744,0.6703
-1,P47,60.0093,0.6709,59.9334,0.6873,59.9319,0.6863,60.0082,0.6699
